index,iter,time,objective
0,0,24.245111854076384,-1957.31751748643
1,1,46.42532459402084,-1861.4729630068578
2,2,67.53418197202683,-1789.3550959192544
3,3,88.74069291496276,-1907.0394394876057
4,4,109.96820713472367,-1849.5634381795644
5,5,134.02675661802292,-1758.2413111812057
6,6,152.34337035274507,-1774.083109150255
7,7,170.72402391672134,-1706.0534040406346
8,8,195.17285097885133,-1849.7733180636787
9,9,216.85748022174835,-1921.9249178188693
10,10,235.27433061981202,-1947.9779956882048
11,11,256.98672139596937,-1965.9988463896916
12,12,275.31273412370683,-1698.8511092083063
13,13,293.99982494401934,-1808.893635746772
14,14,315.0204292769432,-1895.6020560150719
15,15,339.2055038757324,-1772.2540566353382
16,16,357.6126345090866,-1594.840738015213
17,17,381.9770789527893,-1927.4822897200465
18,18,403.27811187696454,-1806.704896740739
19,19,427.301235806942,-1659.4044817289432
20,20,451.48257795095446,-1935.040005833107
21,21,475.4839721388817,-1810.180087274468
22,22,494.03400302410125,-1648.7567840221855
23,23,518.5618846197128,-1787.8755618688847
24,24,545.7854331297874,-1773.509142337709
25,25,569.8490843267441,-1751.0413905081623
26,26,588.2796647157669,-1733.398504972818
27,27,606.5122986788749,-1715.7044564706339
28,28,634.0292123818398,-1961.361198768369
29,29,655.7666944608688,-1566.3524241570703
30,30,679.8636976027489,-1649.8610089586618
31,31,701.2015867180825,-1642.304150556407
32,32,726.5239539399147,-1707.2600519906882
33,33,745.2288256759643,-1734.0461685413793
34,34,772.221393196106,-1889.779611865648
35,35,793.7964078698159,-1712.1418410878578
36,36,811.9535105690956,-1620.5382201069515
37,37,827.2183461709022,-1841.7302207226749
38,38,849.5412847790718,-1863.6418045427017
39,39,871.0457483286857,-1809.7668141621507
40,40,886.366525387764,-1599.9512152281677
41,41,907.5054833307266,-1727.3651981223084
42,42,938.0960451488495,-1689.3215066777193
43,43,962.2261849017143,-1886.907035316799
44,44,986.5577294230461,-1910.4238483650443
45,45,1007.9737829108238,-1847.9540401731065
46,46,1026.0062995400428,-1618.5432623825945
47,47,1044.2598956451416,-1715.5163451119442
48,48,1065.6434484148026,-1704.8537197112637
49,49,1087.1703903417588,-1504.1158780186015
50,50,1108.5358331856728,-1814.4890084074977
51,51,1132.2747076296807,-1489.5938664206988
52,52,1156.4313365716935,-1603.0446390331454
53,53,1181.6274553780556,-1935.3274297521566
54,54,1205.4405163769723,-1620.0546894933395
55,55,1226.6748769221306,-1946.0597304286275
56,56,1248.2277491431237,-1868.8532829561009
57,57,1272.383906463146,-1825.461858041297
58,58,1296.889802754879,-1707.0260087866263
59,59,1318.2236960878372,-1775.6992998567148
60,60,1339.3033041229248,-1874.8692145500572
61,61,1360.3807922668457,-1747.2424589169386
62,62,1378.4903916158676,-1632.3638385301456
63,63,1403.0607471609117,-1897.5213825748324
64,64,1427.0709612836838,-1945.0360585629096
65,65,1451.819537595749,-1573.8984169254873
66,66,1472.981655655861,-1584.9941492840844
67,67,1496.9150486459732,-1890.4980839584896
68,68,1524.6317904787063,-1696.7836583901772
69,69,1542.521941435814,-1735.5966153172558
70,70,1566.5900461230278,-1868.4615954844521
71,71,1587.66305296278,-1765.5611592166497
72,72,1609.391310792923,-1952.1946829021908
73,73,1630.6059705090522,-1789.9444006416925
74,74,1651.7343260440825,-1909.1124175537698
75,75,1673.0933607821464,-1753.9196045975114
76,76,1691.737836402893,-1564.0630460491993
77,77,1715.6062486729622,-1790.3258708013163
78,78,1739.8169167728424,-1780.33644162177
79,79,1763.8334677348137,-2040.002265567844
80,80,1782.1221634488106,-1993.2554000949822
81,81,1803.23888586092,-1851.711705926693
82,82,1824.2440321288109,-1912.660146172282
83,83,1842.648770975113,-1821.3201091399787
84,84,1860.969070446968,-1715.9395178123814
85,85,1882.7309906487465,-1789.7491943611822
86,86,1907.109790742874,-1765.6404163899424
87,87,1931.5607753038407,-1780.9184849239573
88,88,1956.007499367714,-1797.4848523964138
89,89,1974.1585353031157,-1807.545590225589
90,90,1998.1303867340089,-1670.253146569048
91,91,2022.5832127900123,-1561.2323154643636
92,92,2040.7838496918678,-1668.452483653029
93,93,2059.033655265808,-1968.3392885724897
94,94,2080.0407881789206,-1741.238757496616
95,95,2104.553512834072,-1770.8958559731036
96,96,2125.824216103077,-1879.7293554405805
97,97,2146.8432442827225,-1896.271202016269
98,98,2171.1981642026904,-1802.3589421712131
99,99,2192.1433053069113,-1756.6546383200111
100,100,2216.643552371979,-1838.6660970882476
101,101,2240.6895909729005,-1824.2420093004657
102,102,2264.8974211568834,-1529.754783701901
103,103,2289.722645216942,-1807.1737680408733
104,104,2307.7959126410483,-1909.4756118901023
105,105,2331.7051600227355,-1837.7229510673606
106,106,2352.619100702763,-1779.2884147133882
107,107,2379.543260439873,-1631.004000443496
108,108,2407.054221923828,-1520.4641621210103
109,109,2425.1216915669443,-1583.1309512654516
110,110,2446.061944718838,-1999.1845141378071
111,111,2473.2238859090803,-1844.3567665139017
112,112,2500.4391652588843,-1678.9513348944383
113,113,2521.7304368257523,-1621.1064601147227
114,114,2542.9247994060515,-1773.0617566182082
115,115,2561.041956926823,-1926.9196047403711
116,116,2582.4596254639628,-1863.7330533832755
117,117,2604.141291750908,-1652.7129292151294
118,118,2627.9914081397055,-1825.2599597450426
119,119,2649.475706712723,-1652.2755157668034
120,120,2676.9138827838897,-1915.7249592089465
121,121,2697.9793619847296,-1634.9382710223654
122,122,2721.874478600979,-2021.6217500974672
123,123,2739.897540348053,-1945.3846683635966
124,124,2760.914661879063,-1789.683289704015
125,125,2779.03643791008,-1849.0615492706493
126,126,2797.432315474987,-1784.6565670094496
127,127,2815.436600132942,-1505.1730934893785
128,128,2836.869632727146,-1750.6917290289093
129,129,2864.269331473827,-1898.7170710421851
130,130,2888.3325637669564,-2013.7070856695573
131,131,2909.9288466010094,-1671.8766594376975
132,132,2934.092638876915,-1868.155475647407
133,133,2955.6294034719467,-1792.8314298511286
134,134,2976.532055520058,-1645.9229556565479
135,135,3000.462092886925,-1429.1950884459002
136,136,3024.413172844887,-1783.320650097863
137,137,3045.770723320007,-1810.932670950402
138,138,3063.75550684309,-1915.4863727347765
139,139,3081.781041658878,-1754.5467722510512
140,140,3105.811919821739,-1836.317152002619
141,141,3130.1749536437987,-1658.9180030220778
142,142,3154.5990626978873,-1762.9266742750042
143,143,3178.362317691803,-1737.7212464445438
144,144,3202.7526325707436,-1868.508302566861
145,145,3223.6775945358277,-1864.910434443118
146,146,3241.7850413460733,-1705.9351754811614
147,147,3257.06678608799,-1609.1965152971425
148,148,3278.1243791828156,-1536.0329952904685
149,149,3300.3227009501456,-1976.853743593434
150,150,3324.512701508999,-1832.8702466523646
151,151,3348.5204370269776,-1890.3585439764393
152,152,3369.452252257824,-1687.1573545870924
153,153,3387.949522797108,-1814.7533183607775
154,154,3406.159228057861,-1641.256877029402
155,155,3427.1276381907464,-1581.410441852975
156,156,3448.1344699320794,-1532.4254372302457
157,157,3466.1917984838487,-1654.0189724710544
158,158,3487.372628572941,-1827.5340240992518
159,159,3505.9558075499535,-2028.4685490107076
160,160,3530.4467352900506,-1727.3734157518775
161,161,3548.7226176199915,-1672.1252307016402
162,162,3569.6962127699853,-1886.8172720525836
163,163,3594.975332596779,-1651.3287460856154
164,164,3616.6386432757376,-1870.2718654140554
165,165,3631.8821593489647,-1851.7392425578873
166,166,3652.791017066002,-1888.7287558926073
167,167,3673.9824031996727,-1742.3964943053434
168,168,3692.165448219776,-1791.5839687971202
169,169,3718.9556518807412,-1639.7217831971248
170,170,3743.542679222107,-1827.4179205792825
171,171,3768.1414355096817,-1878.0968716667812
172,172,3792.135707687855,-1750.6421305307267
