steps, error
1000,24.971818922132712
1000,17.0888279270906
1000,22.323944993077316
1000,22.435402125000515
1000,10.178434168377944
1000,8.971747625679107
1000,16.351576820577552
1000,24.277886322781757
1000,20.372834161581718
1000,34.02112377117581
500,38.68486213525035
500,35.654377345050385
500,39.14526493251731
500,36.78062836507841
500,34.36467927409887
500,35.499909332088386
500,32.50753899160446
500,34.94964330560001
500,32.91367238795076
500,37.374037018237104
250,32.33580378978035
250,35.39211345401781
250,36.67123072609695
250,34.98327598888823
250,33.13969565404473
250,32.693262493891204
250,33.9264537439513
250,38.253532738420475
250,39.33808598169116
250,38.14030458472548
125,36.557468514895994
125,33.46398866207827
125,34.703083376843445
125,34.736923247899426
125,33.84677147139951
125,36.312460090809004
125,34.898376329653246
125,33.8676215517842
125,31.95558145892037
125,37.46730956401126
