steps, error
1000,0.9064369879171179
1000,1.2903851405580482
1000,1.3874895850997215
1000,1.7197173764430613
1000,1.2040830649533354
1000,1.2330298330447829
1000,1.2570091520825075
1000,1.4069956475552852
1000,1.1668928314201492
1000,2.313280923963896
500,2.9124948762322975
500,2.97457299914905
500,2.8060762494185973
500,2.915979059685727
500,3.130223438955269
500,2.8904586387004403
500,2.8609274195122656
500,2.8819874100513507
500,2.8809528873387538
500,2.8304598120452202
250,2.946199624604128
250,2.9027489455780007
250,2.9138180292844655
250,2.923062298067184
250,2.9333228762511263
250,2.933450084208102
250,2.8837026606052154
250,2.9359148215765
250,2.948559857500935
250,2.9175522324796295
125,2.913548511850586
125,2.9261625825352415
125,2.932120471970339
125,2.9184055802340234
125,2.9693763387031367
125,2.921628838780371
125,2.936850022540938
125,2.916041038179953
125,2.922853025080441
125,2.93140033102403
