samples, error
16,25.71343105672604
16,22.161328212163635
16,22.637612952012585
16,24.594856053487547
16,23.991813471458713
16,23.465822499808276
16,22.48838179011752
16,23.287510478918673
16,24.259535822762224
16,23.330331793529552
8,27.446697020946495
8,27.715121811113335
8,24.74452963873871
8,21.043768854303327
8,27.067528965568425
8,27.390729816974087
8,19.86663357452172
8,24.007899799817295
8,27.37941792788443
8,28.313569616154233
4,27.252434544950614
4,20.550127210866297
4,23.86147580554667
4,28.29613324913107
4,27.930053872943084
4,24.65216190009014
4,25.874566086442258
4,31.625071506335797
4,25.92689700124961
4,22.26095843926991
2,17.868594511303133
2,29.228558051334804
2,29.14871171367823
2,21.578685762347078
2,25.516409591765672
2,33.16694305755326
2,17.419839001648157
2,23.196652544476766
2,31.843410779407495
2,26.098666620018168
