steps, error
1,000,7.689148018942729
1,000,6.975515226768035
1,000,7.600524134745837
1,000,7.9392922042314735
1,000,7.096455782265458
1,000,7.015708448689865
1,000,7.151005489005873
1,000,7.177026502957523
1,000,11.432806433282474
1,000,7.525475346611872
500,22.057432192974392
500,21.878271019047126
500,22.92776263246303
500,23.78417324692588
500,24.733945102403155
500,22.569272405988393
500,23.382066822059052
500,24.144916342618508
500,21.7365819441431
500,22.850321936500087
250,30.28833047108954
250,29.710339155679137
250,32.503100533409025
250,29.46757844260832
250,33.68813352868012
250,33.01581222657694
250,34.015778485781965
250,26.559583583863727
250,28.463658887157532
250,29.29791604599572
125,32.38822108144857
125,31.090295878947746
125,28.86810439217034
125,32.04211342276803
125,33.9982029929879
125,30.77222720113747
125,30.15530850586341
125,30.656479745678734
125,29.549224357009912
125,31.957896079075596
