samples, error
16,9.410973336799199
16,11.962584660929386
16,8.143209102516584
16,8.660511899423337
16,9.004238562016042
16,9.938468973682593
16,8.730043402276499
16,8.61485485639498
16,10.30162034498974
16,8.2818592722177
8,8.506801437465695
8,7.563061535125475
8,6.7807004329061185
8,8.755258747768071
8,10.52641745322045
8,7.599183585419737
8,7.756117358953735
8,8.044842769254492
8,9.197244293275043
8,7.44816285610008
4,8.131331805633133
4,8.866829320755116
4,9.838070005570119
4,8.561043805851604
4,11.834358682470468
4,9.86518627474976
4,6.583107835605369
4,8.009227094842352
4,9.501452483187457
4,6.981400928263711
2,10.890338104477
2,10.29266992824856
2,10.82574642954205
2,9.306707447798674
2,9.908658798458752
2,10.750204222255949
2,10.235729997442396
2,19.58843689747905
2,8.6077772705813
2,8.359809295151633
