steps, error
1000,8.545249146605666
1000,19.10386163771872
1000,8.055461186102313
1000,9.041587043310459
1000,6.907579731133113
1000,7.621348386825402
1000,11.451729556185354
1000,7.788146087092281
1000,8.981029699738874
1000,9.749253395249681
500,36.18054193449575
500,32.26898069758245
500,40.27898440374573
500,33.57321208340765
500,35.76557686303468
500,33.43997083788262
500,32.59734827135718
500,38.869156371360255
500,33.59856313528675
500,32.00841807452789
250,35.20586211777535
250,36.75714142775028
250,39.54245399547616
250,35.580256050073054
250,37.6451266987598
250,29.989529859687366
250,34.80898736062555
250,36.373407323411776
250,34.79183759173897
250,33.973940429766046
125,35.475289899282174
125,33.84362349223845
125,32.51812011164301
125,32.44887972985867
125,33.579404325131534
125,32.38706146458334
125,36.29135349215106
125,32.753162398922186
125,34.70392396185206
125,34.613543400503126
