samples, error
16,7.689148018942729
16,6.975515226768035
16,7.600524134745837
16,7.9392922042314735
16,7.096455782265458
16,7.015708448689865
16,7.151005489005873
16,7.177026502957523
16,11.432806433282474
16,7.525475346611872
8,7.955031010176572
8,8.19418544698998
8,7.924335262117785
8,6.96283892716103
8,6.908193526148393
8,7.369348224910699
8,7.860630535518904
8,7.1345486308853285
8,7.449065182219148
8,7.405320724146819
4,7.513514390446497
4,7.522638035059574
4,7.360931945015309
4,8.853143017638411
4,7.54004970481974
4,7.70166156908902
4,8.459427946555302
4,7.237738700536127
4,7.584932165630682
4,7.031240693826383
2,7.356796346701467
2,10.141460252436056
2,7.295501355323151
2,6.772192455343849
2,8.086924741675324
2,7.581063122102789
2,8.225757232638765
2,7.21846102171371
2,7.368420283171699
2,7.37478134467059
