samples, error
16,24.971818922132712
16,17.0888279270906
16,22.323944993077316
16,22.435402125000515
16,10.178434168377944
16,8.971747625679107
16,16.351576820577552
16,24.277886322781757
16,20.372834161581718
16,34.02112377117581
8,37.977954381072095
8,31.315159669112134
8,7.493643340674346
8,23.49624206941559
8,8.618753681458065
8,27.751962737149412
8,10.873251739770865
8,33.504183270615314
8,41.44136787661225
8,36.16920188973959
4,40.022901553575096
4,7.013414463059092
4,54.730452420750495
4,36.39997223061214
4,29.475562421384886
4,10.117605128871348
4,47.16489712578717
4,24.9898459115275
4,35.684956826917706
4,30.676221013098903
2,18.831932505312107
2,59.40840147729444
2,16.872101034626436
2,14.113172748875636
2,65.25311964316515
2,19.752124569306595
2,6.0308534883331175
2,39.75192987138609
2,7.603611286635096
2,44.429286141637206
