steps, error
1000,18.565985844187857
1000,21.490760112265203
1000,26.27803582960025
1000,24.953443691555638
1000,24.369944132760608
1000,21.0041472651323
1000,28.063449754270295
1000,31.687401692224217
1000,20.009018662024985
1000,18.260728504475644
500,34.31537954178155
500,33.51586929135172
500,37.141673643050446
500,34.5697087790708
500,34.36131710481976
500,33.570272296119256
500,36.975651163017055
500,37.16349315251467
500,36.78118866306052
500,39.26809354573864
250,31.027032378826505
250,34.22479191588293
250,37.74187224575407
250,32.46068884591901
250,36.46382252387848
250,33.431493343994646
250,33.43740930107133
250,36.04449994019209
250,34.25435128260875
250,30.951565881477233
125,34.41629766816497
125,32.546759254876406
125,32.19061259274768
125,31.5801756124012
125,31.513699903912457
125,33.22311455048117
125,31.56654350702911
125,36.16968525885004
125,33.232783948669265
125,37.06057005700173
