steps, error
1,000,1.3828348896194302
1,000,1.4589173986689423
1,000,1.3454020528150201
1,000,1.4527645497257664
1,000,1.1012185743713758
1,000,1.2902673269710798
1,000,1.3864536328802264
1,000,1.3093317544047127
1,000,1.67595953469379
1,000,1.2729332445167862
500,3.1551488283728704
500,2.9155415521394152
500,2.838317133859471
500,2.9509982655981184
500,2.816823265661382
500,3.0016238267054436
500,2.8177805431746705
500,2.9661757835573264
500,2.79501223752256
500,2.93028448630107
250,2.860069449316356
250,2.898659951713501
250,2.902889013872506
250,2.9335218544410195
250,2.8878003470988634
250,2.935461332539516
250,2.8387466599199724
250,2.7911487291608914
250,2.8775348716075966
250,2.7990288032870034
125,2.9098392443677117
125,2.9058374882731104
125,2.907535126873111
125,2.876186921139931
125,2.9154821055603324
125,2.9055927738463723
125,2.9286068271340815
125,2.940782087657751
125,2.9346069699517243
125,2.918010508648434
