steps, error
1000,7.307295762389442
1000,7.873079553713254
1000,8.379126826812147
1000,9.888718037364328
1000,6.710952653934252
1000,8.162187551841992
1000,8.084876191797733
1000,7.262935064773877
1000,8.087473939987666
1000,8.602311423344986
500,23.057830563197157
500,23.076528961712075
500,21.798313421233633
500,24.10566172554047
500,22.75001480037319
500,21.141022708763362
500,26.30795331552894
500,21.07295161710282
500,22.314118122479105
500,19.97366646164788
250,31.523437864952953
250,30.062734453523763
250,29.518798876157422
250,28.502735385320022
250,28.17646363423652
250,27.658040677279008
250,33.41065977602961
250,30.672656069651
250,29.12809540669404
250,31.56886270283242
125,30.39725882490732
125,30.34214523245824
125,36.13460027241328
125,33.08612128394109
125,31.42100923151394
125,31.35806400229456
125,29.55500766659258
125,32.25009641915971
125,30.649286889064864
125,34.278073781745526
