steps, error
1,000,25.71343105672604
1,000,22.161328212163635
1,000,22.637612952012585
1,000,24.594856053487547
1,000,23.991813471458713
1,000,23.465822499808276
1,000,22.48838179011752
1,000,23.287510478918673
1,000,24.259535822762224
1,000,23.330331793529552
500,38.826838873478565
500,35.07102116939385
500,36.948192582106984
500,37.94323242050486
500,34.19024631747271
500,35.65553237209018
500,36.46147450438306
500,36.94882818146167
500,34.65615921930815
500,33.915465558696404
250,36.012680674087115
250,35.26412056325165
250,34.77544854801909
250,35.78290230207132
250,38.074720028256955
250,30.298131036501992
250,32.699993548112644
250,33.44376915655547
250,33.57432291807281
250,34.39127710608073
125,33.00067188491997
125,37.589627555689916
125,35.19544465354096
125,30.295628249957318
125,30.626523694282334
125,35.10888960184791
125,31.35045580499371
125,34.56738494490861
125,34.64811658424549
125,32.029844268138326
