steps, error
1,000,7.383312758382662
1,000,7.801954983395202
1,000,8.189253318684667
1,000,7.198452990726509
1,000,7.725462516097832
1,000,8.0349520759276
1,000,9.03353234123605
1,000,7.950560413504614
1,000,6.7412451346273565
1,000,7.111749687937871
500,21.292494028545967
500,21.480267717171394
500,21.130942839905718
500,27.229668789618124
500,19.38125814575381
500,23.55725926773451
500,24.353411285054822
500,22.45569396034722
500,20.477521395112923
500,22.112306125367706
250,27.60371030126553
250,28.708188489883174
250,27.97432221388493
250,33.049278403008174
250,30.77564648306224
250,29.60460892336591
250,29.923856418273996
250,29.58648058039455
250,28.50181625339552
250,28.76824378376541
125,35.21841487458524
125,30.62719575207877
125,36.114573453250145
125,34.64319834805572
125,33.12345401286608
125,31.51261504766164
125,32.51239703813566
125,35.48204635858065
125,34.52284707920008
125,35.89084332920069
