steps, error
1,000,9.410973336799199
1,000,11.962584660929386
1,000,8.143209102516584
1,000,8.660511899423337
1,000,9.004238562016042
1,000,9.938468973682593
1,000,8.730043402276499
1,000,8.61485485639498
1,000,10.30162034498974
1,000,8.2818592722177
500,14.275600560955318
500,13.278560781132061
500,14.64332768755913
500,14.372159429756737
500,13.50130315248673
500,13.467322737033037
500,14.472910317027846
500,13.702776300321993
500,14.321563194432295
500,13.117767802800659
250,23.819127728606446
250,25.473908750896758
250,27.69176551905169
250,25.715478723091163
250,24.335258609039165
250,27.1104237298057
250,29.37841935332986
250,27.383778830839343
250,24.377960374353904
250,26.89125125630259
125,29.52532092895683
125,31.03546027379471
125,35.39779749098421
125,31.504971144767286
125,32.40069079995617
125,35.00437602584746
125,31.276693826379205
125,30.012963746462727
125,34.773606528425766
125,30.291845282436086
