index,iter,time,objective
0,0,0.3845628542900085,-213.92885453303512
1,1,0.6531194119453431,-230.51780050132834
2,2,0.9004865431785584,-198.8529868281554
3,3,1.1368195061683655,-225.46819789895054
4,4,1.3567741241455078,-244.10072876254756
5,5,1.5655228209495544,-217.3347160293091
6,6,1.8721615052223206,-212.61297990505216
7,8,2.288592474937439,-250.38930476583027
8,9,2.4997186322212217,-190.2273477821176
9,10,2.7199425702095033,-228.30955235295875
10,11,2.94069313621521,-264.66028073251107
11,12,3.1535607571601867,-205.43871684686945
12,14,3.5636755089759826,-193.07455114140356
13,15,3.7853519072532653,-203.76910549308295
14,16,4.1075585842132565,-246.6448519534956
15,17,4.310772839069366,-245.2731918120422
16,18,4.535599003314972,-225.1769599590342
17,19,4.75777958393097,-234.80053173908436
18,20,4.977530996322632,-244.79146200321793
19,21,5.200642683029175,-259.07997729007826
20,22,5.418059905052185,-237.0727448129552
21,24,5.828690709114075,-200.60913535874693
22,25,6.045257884025574,-224.15540997064028
23,26,6.390213180065155,-203.41226610135874
24,27,6.614933953285218,-240.43480102490122
25,28,6.847045702934265,-239.6283382299465
26,29,7.064830552101135,-259.3449918490267
27,30,7.277730760097504,-253.50262777511682
28,31,7.492823604106903,-247.49460658322138
29,32,7.6952387471199035,-204.97536119432257
30,33,7.912058331012726,-245.83455341407733
31,34,8.124186543941498,-203.9074312716695
32,35,8.337866028308868,-188.04939009801137
33,36,8.555137465953827,-246.06243953621782
34,37,8.771392878055572,-165.75437196772262
35,38,9.028008407115935,-215.14309129742162
36,39,9.34972081899643,-255.2197318176664
37,40,9.565241543292998,-241.6695467506143
38,41,9.78041762304306,-235.09881102332284
39,42,9.986681806087494,-260.83291699946994
40,43,10.221057570934295,-232.84082671936562
41,44,10.450848190307617,-236.39434614925761
42,45,10.675741724967956,-238.52340329496718
43,46,10.890337785243988,-213.53915728830756
44,47,11.103136092185974,-219.77441382536423
45,49,11.509532330036164,-169.98225081334286
46,50,11.730347875118255,-239.4586840882028
47,51,11.946891983032227,-184.06003951778365
48,52,12.340977962017059,-224.67654278416126
49,53,12.543757585048676,-263.5135961628632
50,54,12.763914144992828,-193.874229676823
51,55,12.98879184293747,-219.34392750488394
52,56,13.224329587936401,-228.55949975684595
53,57,13.455781041145325,-260.8092549712109
54,58,13.65863250398636,-237.77482583963285
55,59,13.879913084983826,-214.65172525963692
56,60,14.09749286031723,-240.54852365256002
57,61,14.310813066005707,-202.71061535830725
58,62,14.522442056179047,-247.07444793051394
59,63,14.73389951992035,-254.28762270695321
60,65,15.170548787117005,-217.29629884502344
61,66,15.592256451129913,-250.2857387590439
62,67,15.79539514684677,-211.14094366114304
63,68,16.01755472612381,-256.9082159087244
64,69,16.238418992996216,-192.83815337701407
65,70,16.472730273246764,-256.7236607258046
66,71,16.71346988296509,-148.04689747410322
67,72,16.946725020885467,-234.65378041631814
68,73,17.153721562862398,-263.0775885755286
69,74,17.384478250026703,-223.49516994142454
70,75,17.60724616622925,-251.72268303790116
71,76,17.825226482868196,-237.2221832848432
72,77,18.04012011194229,-275.9704742269332
73,79,18.455244940280913,-257.1111031526705
74,80,18.697850077152253,-216.79499500036565
75,81,19.11318254995346,-195.07009429794414
76,82,19.336422999858858,-203.79995227423666
77,83,19.557161848068237,-241.26730290627242
78,84,19.775611063957214,-262.74344968763796
79,85,20.011034317970275,-211.49293789404962
80,86,20.25262619829178,-236.42907538537858
81,87,20.462756278038025,-233.14562076223922
82,88,20.69972046995163,-208.86718395175032
83,89,20.929556803226472,-214.57706821570446
84,90,21.157053933143615,-227.70206423490956
85,91,21.380944833278654,-209.3298996688288
86,92,21.605319692134856,-229.39755872947094
87,94,22.020947627067567,-212.90510501524258
88,95,22.238951344013213,-233.59695145929763
89,96,22.70639637708664,-205.22741435063983
90,97,22.92906724023819,-222.20439113449984
91,98,23.12908517026901,-216.78279268385228
92,99,23.34676481628418,-224.74421680756456
93,100,23.57282202386856,-232.40321799071577
94,101,23.823500910282135,-215.96230906297518
95,102,24.067577332019805,-186.68252788165557
96,103,24.31212724208832,-257.33696948701663
97,104,24.52524758529663,-256.25299498783573
98,105,24.759740866184234,-210.04329301783864
99,106,24.99243946695328,-238.65540435442244
100,107,25.218092809200286,-231.98887783422015
101,108,25.44004263496399,-273.42241902924206
102,109,25.658372495174408,-193.92886036621448
103,111,26.098270851135254,-205.84279274376468
104,112,26.545798570156098,-238.62614053739586
105,113,26.77916473531723,-178.1769459580932
106,114,26.999878911972047,-192.70940197050135
107,115,27.221182191848754,-248.54454010661374
108,116,27.453293015956877,-177.81183096218825
109,117,27.700254611968994,-241.85167210030326
110,118,27.915467965126037,-194.50552964541097
111,119,28.157812743186952,-185.0671512118653
112,120,28.39663264322281,-234.02437466115254
113,121,28.632854429244993,-252.5008264757492
114,122,28.863495874881746,-221.63614592551855
115,123,29.09025337123871,-182.9177929487744
116,124,29.29317470407486,-192.57987649433858
117,125,29.52427109289169,-244.14737182915448
118,126,29.75813674688339,-195.52345215199483
119,127,30.21381638431549,-230.94156365919093
120,128,30.419000881195068,-221.16922451460397
121,129,30.64315481328964,-218.24708796764014
122,130,30.87582897186279,-240.60082333072225
123,131,31.125386964321137,-215.6817841687186
124,132,31.37189241409302,-226.91325665839798
125,133,31.62086303806305,-212.73550154281637
126,134,31.83860167312622,-242.7104080782849
127,135,32.080171611309055,-247.75441727727835
128,136,32.32109206724167,-206.78723371849338
129,137,32.56228849697113,-274.10294805092377
130,138,32.79565569019318,-264.2759418818534
131,139,33.10202896595001,-231.590190269449
132,140,33.47489379310608,-254.8943552703468
133,141,33.696614037036895,-258.4690554344458
134,142,33.92063413286209,-183.80716185849857
135,143,34.168214323997496,-226.10105113378006
136,144,34.38600642108917,-205.21645754483717
137,145,34.63190354728699,-198.3418441822669
138,146,34.87716855525971,-226.1796898592241
139,147,35.119758678913115,-170.34098081053736
140,148,35.36011365795135,-252.21039097350484
141,149,35.5992968840599,-221.25834927921434
142,150,35.80684203100204,-155.85320938946097
143,151,36.03903754091263,-235.56756901060726
144,152,36.27387603998184,-215.27765185651185
145,153,36.551749283313754,-177.16616846041757
146,154,36.956470293045044,-219.0100517310907
147,155,37.186407948970796,-232.93804031498817
